wavelength,data
350,0.258632
351,0.25485
352,0.249492
353,0.245045
354,0.241809
355,0.238336
356,0.233833
357,0.230855
358,0.226709
359,0.22242
360,0.219718
361,0.216531
362,0.213734
363,0.211106
364,0.208062
365,0.20581
366,0.203356
367,0.200252
368,0.199733
369,0.197905
370,0.195477
371,0.193331
372,0.190716
373,0.18918
374,0.188218
375,0.186928
376,0.185223
377,0.183957
378,0.182584
379,0.180788
380,0.179681
381,0.178885
382,0.177776
383,0.176364
384,0.175
385,0.173832
386,0.17235
387,0.171527
388,0.171223
389,0.169787
390,0.168472
391,0.167755
392,0.166927
393,0.166189
394,0.165394
395,0.164879
396,0.164586
397,0.164102
398,0.163727
399,0.162905
400,0.162637
401,0.162907
402,0.162923
403,0.162939
404,0.163292
405,0.163489
406,0.16376
407,0.164262
408,0.164401
409,0.1649
410,0.16525
411,0.165014
412,0.165082
413,0.165496
414,0.1655
415,0.165548
416,0.165231
417,0.165089
418,0.164905
419,0.164607
420,0.164279
421,0.163907
422,0.16365
423,0.163308
424,0.16311
425,0.163089
426,0.163103
427,0.163232
428,0.163482
429,0.163794
430,0.164116
431,0.164437
432,0.164943
433,0.165486
434,0.16575
435,0.166004
436,0.165789
437,0.165579
438,0.165491
439,0.16497
440,0.16405
441,0.163433
442,0.162461
443,0.161432
444,0.160509
445,0.159229
446,0.157778
447,0.156725
448,0.155725
449,0.154693
450,0.153645
451,0.152813
452,0.152772
453,0.151933
454,0.151012
455,0.150743
456,0.150249
457,0.149574
458,0.149231
459,0.148552
460,0.148172
461,0.14795
462,0.146895
463,0.146086
464,0.145254
465,0.14424
466,0.143133
467,0.141979
468,0.14044
469,0.139243
470,0.13839
471,0.136358
472,0.134759
473,0.133231
474,0.131436
475,0.12968
476,0.127777
477,0.126023
478,0.12432
479,0.122168
480,0.120291
481,0.119007
482,0.117317
483,0.11525
484,0.113283
485,0.11098
486,0.109318
487,0.107524
488,0.105807
489,0.103844
490,0.10192
491,0.099935
492,0.097917
493,0.095745
494,0.094348
495,0.092253
496,0.09086
497,0.088748
498,0.087165
499,0.085825
500,0.084198
501,0.082584
502,0.080693
503,0.079187
504,0.077752
505,0.076282
506,0.075515
507,0.073878
508,0.072975
509,0.071775
510,0.070688
511,0.069648
512,0.068777
513,0.067709
514,0.066904
515,0.065814
516,0.064762
517,0.063718
518,0.062838
519,0.061892
520,0.061241
521,0.060655
522,0.059525
523,0.058837
524,0.057598
525,0.056892
526,0.056209
527,0.055492
528,0.054639
529,0.053954
530,0.053191
531,0.052502
532,0.051558
533,0.050792
534,0.050218
535,0.049488
536,0.049066
537,0.048351
538,0.04745
539,0.046986
540,0.046319
541,0.045756
542,0.045143
543,0.044692
544,0.043996
545,0.043349
546,0.042876
547,0.042341
548,0.041888
549,0.041461
550,0.040681
551,0.040299
552,0.039832
553,0.039465
554,0.039113
555,0.038836
556,0.03826
557,0.038132
558,0.037657
559,0.037272
560,0.037145
561,0.03704
562,0.037193
563,0.03686
564,0.036351
565,0.036576
566,0.036223
567,0.036114
568,0.036227
569,0.03582
570,0.035677
571,0.035624
572,0.035736
573,0.035439
574,0.035342
575,0.034925
576,0.03491
577,0.034717
578,0.034437
579,0.033848
580,0.033828
581,0.033644
582,0.033158
583,0.032855
584,0.032735
585,0.032331
586,0.031762
587,0.03141
588,0.031388
589,0.031158
590,0.030809
591,0.030608
592,0.03032
593,0.02974
594,0.029679
595,0.029103
596,0.028938
597,0.028363
598,0.028486
599,0.02797
600,0.027335
601,0.027138
602,0.026851
603,0.026671
604,0.026614
605,0.026211
606,0.025992
607,0.025767
608,0.025459
609,0.025595
610,0.025673
611,0.025507
612,0.025224
613,0.025127
614,0.02509
615,0.025049
616,0.025415
617,0.025139
618,0.024785
619,0.025065
620,0.02508
621,0.024827
622,0.024955
623,0.024955
624,0.024678
625,0.025192
626,0.025216
627,0.025288
628,0.025324
629,0.025347
630,0.025566
631,0.025585
632,0.025352
633,0.025526
634,0.025865
635,0.026254
636,0.026147
637,0.026099
638,0.026198
639,0.026257
640,0.026229
641,0.026115
642,0.026249
643,0.026151
644,0.025873
645,0.02594
646,0.02599
647,0.025914
648,0.026005
649,0.026127
650,0.026115
651,0.026457
652,0.026874
653,0.026817
654,0.027149
655,0.027692
656,0.02849
657,0.029481
658,0.030112
659,0.031175
660,0.032739
661,0.034135
662,0.035796
663,0.037364
664,0.03905
665,0.040963
666,0.042676
667,0.044
668,0.04548
669,0.047006
670,0.048476
671,0.049361
672,0.049313
673,0.049139
674,0.049008
675,0.048375
676,0.047377
677,0.046091
678,0.04407
679,0.041955
680,0.039809
681,0.037374
682,0.034639
683,0.031851
684,0.029061
685,0.026716
686,0.024611
687,0.022384
688,0.020511
689,0.018607
690,0.016999
691,0.015783
692,0.014327
693,0.013403
694,0.012944
695,0.012083
696,0.011479
697,0.010701
698,0.009917
699,0.009595
700,0.009417
701,0.009133
702,0.008868
703,0.008562
704,0.008447
705,0.008039
706,0.00804
707,0.007832
708,0.00748
709,0.007368
710,0.007449
711,0.00718
712,0.00685
713,0.00678
714,0.006899
715,0.006742
716,0.006496
717,0.006761
718,0.006533
719,0.006012
720,0.006443
721,0.006321
722,0.005814
723,0.005867
724,0.006256
725,0.005795
726,0.005811
727,0.005624
728,0.005885
729,0.005558
730,0.005719
731,0.005824
732,0.006002
733,0.005768
734,0.005857
735,0.00602
736,0.006067
737,0.006126
738,0.005995
739,0.005941
740,0.005507
741,0.005376
742,0.005399
743,0.005443
744,0.005134
745,0.005134
746,0.005073
747,0.004856
748,0.005051
749,0.005053
750,0.005459